Id,Origin,Current,Delivered,Lost,Lost at,Hop Count
p1,s1,i1,True,False,,2
p2,s2,i1,True,False,,2
p3,s1,i1,True,False,,2
p4,s2,i1,True,False,,2
p5,s1,i1,True,False,,2
p6,s2,i1,True,False,,2
p7,s1,,False,True,s1,0
p8,s2,,False,True,s2,0
p9,s1,,False,True,s1,0
p10,s2,,False,True,s2,0
p11,s1,,False,True,s1,0
p12,s2,,False,True,s2,0
p13,s1,,False,True,s1,0
p14,s2,,False,True,s2,0
p15,s1,,False,True,s1,0
p16,s2,i1,True,False,,2
p17,s1,,False,True,s1,0
p18,s1,,False,True,s1,0
p19,s2,,False,True,s2,0
p20,s1,i1,True,False,,2
p21,s2,,False,True,s2,0
p22,s1,,False,True,s1,0
p23,s2,i1,True,False,,2
p24,s1,,False,True,s1,0
p25,s1,,False,True,s1,0
p26,s2,,False,True,s2,0
p27,s1,i1,True,False,,2
p28,s2,,False,True,s2,0
p29,s1,,False,True,s1,0
p30,s2,i1,True,False,,2
p31,s1,,False,True,s1,0
p32,s1,,False,True,s1,0
p33,s2,,False,True,s2,0
p34,s1,i1,True,False,,2
p35,s2,,False,True,s2,0
p36,s1,,False,True,s1,0
p37,s2,i1,True,False,,2
p38,s1,,False,True,s1,0
p39,s1,,False,True,s1,0
p40,s2,,False,True,s2,0
p41,s1,i1,True,False,,2
p42,s2,,False,True,s2,0
p43,s1,,False,True,s1,0
p44,s2,i1,True,False,,2
p45,s1,,False,True,s1,0
p46,s1,,False,True,s1,0
p47,s2,,False,True,s2,0
p48,s1,i1,True,False,,2
p49,s2,,False,True,s2,0
p50,s1,,False,True,s1,0
p51,s2,i1,True,False,,2
p52,s1,,False,True,s1,0
p53,s1,,False,True,s1,0
p54,s2,,False,True,s2,0
p55,s1,i1,True,False,,2
p56,s2,,False,True,s2,0
p57,s1,,False,True,s1,0
p58,s2,i1,True,False,,2
p59,s1,,False,True,s1,0
p60,s1,,False,True,s1,0
p61,s2,,False,True,s2,0
p62,s1,i1,True,False,,2
p63,s2,,False,True,s2,0
p64,s1,,False,True,s1,0
